timestamp,load_r1,Load_r3,Load_r4,Load_r5,Load_r6,Load_r8,Load_r10,Load_r11
2020-05-15 00:00:00,527.2132805456284,176.77151171235775,151.9614749807988,403.16309688783355,350.4417688332707,375.2518055648296,303.9229499615976,210.8853122182514
2020-05-15 00:15:00,500.46358296765067,167.80249546562402,144.25126803185225,382.7074457987917,332.6610875020266,356.21231493579836,288.5025360637045,200.18543318706028
2020-05-15 00:30:00,533.6744549294872,178.93790547635746,153.82381347967572,408.10399494607844,354.7365494531297,379.8506414498114,307.64762695935144,213.4697819717949
2020-05-15 00:45:00,570.6868486337981,191.34794336544994,164.49209166503593,436.40759013172794,379.3389052683481,406.19475696876214,328.98418333007186,228.27473945351926
2020-05-15 01:00:00,496.6951415030762,166.53895920985494,143.16507019794548,379.82569644352884,330.1561822932212,353.53007130513066,286.33014039589096,198.67805660123048
2020-05-15 01:15:00,496.8939613226881,166.60562232584246,143.22237708712774,379.9777351291144,330.2883389968456,353.6715842355603,286.4447541742555,198.75758452907527
2020-05-15 01:30:00,573.678587025644,192.35105564977474,165.3544162603327,438.69539007843366,381.3275313758692,408.3241707653113,330.7088325206654,229.47143481025762
2020-05-15 01:45:00,539.8549291856305,181.01018213871137,155.6052442946817,412.8302399654821,358.84474704691905,384.2496848909487,311.2104885893634,215.94197167425222
2020-05-15 02:00:00,488.27381440125635,163.71533776983298,140.73774650389154,373.38585807154897,324.55847663142333,347.5360678973648,281.4754930077831,195.30952576050257
2020-05-15 02:15:00,531.796736902445,178.30831766729034,153.2825888718812,406.6680929253991,353.48841923515454,378.5141480305637,306.5651777437624,212.718694760978
2020-05-15 02:30:00,490.50100129596507,164.46210043452942,141.37970037354287,375.0890009910321,326.0389008614356,349.1213009224221,282.75940074708575,196.20040051838603
2020-05-15 02:45:00,491.93905741422526,164.94427219182845,141.79419890174728,376.18869096381934,326.9947852223968,350.1448585124779,283.58839780349456,196.77562296569013
2020-05-15 03:00:00,523.8239952928425,175.6351043040707,150.98456334911344,400.57129051805606,348.1888909887718,372.83943194372904,301.9691266982269,209.52959811713703
2020-05-15 03:15:00,435.54881765914627,146.03695650924314,125.54054156057745,333.0667429158177,289.5118611499031,310.0082760985688,251.0810831211549,174.21952706365852
2020-05-15 03:30:00,446.8646239209111,149.83107978524663,128.80215630661553,341.7200065277555,297.0335441356644,318.0624676142955,257.60431261323106,178.74584956836443
2020-05-15 03:45:00,500.13023347538393,167.69072534174634,144.15518494290478,382.452531481176,332.43950813363756,355.9750485324791,288.31036988580956,200.0520933901536
